date,commit_sha,tag,milestone_name,affected_subsystem,concise_description,evidence_paths,confidence_level
2026-07-14,7f969317c4b597b9adaae629c05cf6723785aff2,,Portable non-sensitive Codex layer,policy and discovery,"Created a fail-closed symlink installer, global working agreements, command rules, and six reusable skills while explicitly excluding live client state and credentials.","README.md;install.sh;AGENTS.md;skills/",high
2026-07-14,805db485d9b591f399e9025b28dc8397b27286b3,,One harness for Codex and Claude,cross-client discovery,"Reorganized client-specific guidance around a shared skill directory and added Claude discovery, establishing a dual-client rather than Codex-only harness.","README.md;install.sh;claude/CLAUDE.md;shared/skills/",high
2026-07-14,fb417282588f446f580e2f1de7b4c9b3341c18c5,,Value-free fleet observation,inventory plan doctor and profiles,"Added dependency-free inventory, profile comparison, doctor checks, captured fixtures, and the first phase-one suite for seven logical environments.","bin/harness;libexec/harness-inventory;libexec/harness-plan;libexec/harness-doctor;profiles/hosts/;tests/test-phase1.sh",high
2026-07-14,07351a40f40d3609d3924c3e440a30523e72fa04,,Transactional control-plane pivot,apply and rollback,"Converted reviewed plans into bounded apply transactions with collision refusal, manifests, partial-failure rollback, and explicit rollback commands.","libexec/harness-apply;libexec/harness-rollback;README.md;tests/test-phase1.sh",high
2026-07-14,42e9a119f16f43faed318341abcc78252a5866df,,Suffix-verified shell changes,shell startup,"Added append-only shell transactions that preserve prior bytes and roll back only unchanged managed suffixes.","libexec/harness-shell;libexec/harness-rollback;shell/;tests/test-phase1.sh",high
2026-07-14,37ff256a75418a7d5e2c2ddbddc1c41a1fed1251,,Checksum-pinned portable tools,artifact transactions,"Added one-tool transactions with checksummed archives, version checks, stable links, and rollback integrity checks.","libexec/harness-tool;tools/artifacts.tsv;README.md;tests/test-phase1.sh",high
2026-07-15,e5200fd3ae3aa5b6b326205b6475af2047d21929,,Accidental account-home deletion and recovery,recovery incident,"Recorded an agent-launched rm -rf against the real account home after a temporary-HOME assignment expired; containment, partial restoration, unrecoverable state, and paused fleet work were made explicit.","historical TODO.md at e5200fd;historical TODO.md at d726f0d;presentation/evidence/incident-rm-rf.md",high
2026-07-15,238f0224e6f5ac51ffcb1b47ba5308c97377df3e,,Autonomous bounded deletion,safety,"Introduced a manifest-and-token workflow that rejects protected roots and revalidates exact recursive-deletion targets before and after removal.","shared/skills/guarded-bulk-delete/SKILL.md;shared/skills/guarded-bulk-delete/scripts/guarded-delete;tests/test-guarded-delete.sh",high
2026-07-15,4f34299ac2b0202a92be9e4978b6e5d5630b7ce5,,Encrypted hidden-home recovery,backup and restore,"Added the seven-node Restic topology and manual backup, full-data check, restore, and independent encrypted-generation gates.","docs/home-backup.md;profiles/restic-repositories.tsv;libexec/harness-restic",high
2026-07-16,852b84bb753bf590a55353f96de71fba3b7b77d5,,Scheduler-native weekly backup chain,backup scheduling,"Added exactly-one-successor native scheduler chains without login cron, retention deletion, or central polling.","libexec/harness-restic-schedule;profiles/restic-schedules.tsv;docs/home-backup.md;tests/test-restic-schedule.sh",high
2026-07-16,05932762e5ab9be8113da4b7620de4642200d5ae,,Acceptance-grade agent evaluation,evaluation,"Added a frozen synthetic corpus, paired baseline/candidate runner, bounded retries, private raw evidence, and aggregate reporting.","evaluation/evaluate.py;evaluation/corpus.json;evaluation/schemas/;tests/test-evaluation.sh",high
2026-07-16,ee9685313cf9ed7b4d3ed1b5cb75bda744d4dd8a,,Evaluation evidence could reject a plausible change,evaluation results,"Published the 70-run T-181 aggregate: 69 deterministic passes, zero safety failures, and no evidence-based benefit for the candidate after targeted review.","evaluation/results/t181-failure-capsule-v1-full.json;evaluation/results/t181-failure-capsule-v1-full-review.md;docs/evaluation-follow-up.md",high
2026-07-16,f6b9909a0fa81339bb387782ee660588a54c664c,,Portable CI became a merge gate,CI and governance,"Added read-only hosted CI for the portable suite, later used as the protected main-branch required check.",".github/workflows/ci.yml;docs/ci-and-merge-controls.md;tests/test-github-rulesets.sh",high
2026-07-16,25efb7b489c8a660695694af39643889187b9021,,Scheduler-native CPU readiness,native HPC validation,"Recorded passing compiler, Python, CTest, and bounded sanitizer evidence across all seven managed nodes using visible native routes.","docs/hpc-readiness.md;docs/audits/hpc-cpu-readiness-2026-07-16.json;tests/smoke/;tests/test-hpc-readiness.sh",high
2026-07-17,40b40da3b5a7abd637929f1714eb8b46f4dbec00,,Scheduler-native accelerator readiness,native HPC validation,"Recorded driver/runtime readiness on seven nodes and CUDA-kernel passes on five, with two explicit toolkit skips rather than inferred failures.","docs/hpc-readiness.md;docs/audits/hpc-accelerator-readiness-2026-07-17.json;tests/smoke/jobs/accelerator-readiness.sh",high
2026-07-17,e8b0e9ae37294b4a1d6aba29c64a76c223075a69,,Guarded fleet fast-forward,distribution,"Added prerequisite-bound Git-bundle synchronization that refuses dirty or divergent checkouts and preserves partially completed fleet runs.","libexec/harness-fleet-sync;README.md;tests/test-fleet-sync.sh;docs/fleet-readiness-audit.md",high
2026-07-18,e52a3d01d11be2f2b3895e1e49dc8e670e3954a1,,Automatic Git hooks were removed,shell and Git policy,"Deleted login-time fetch/fast-forward and exit-time publish behavior after it proved too implicit; Git synchronization and publication became explicit operations.","shell/remote-session.sh;docs/startup-policy.md;tests/test-remote-session.sh",high
2026-07-18,f1b095c505bea596853a329b13feb95a8a1548e4,,Harness became repository-independent,scope boundary,"Removed website-specific tools, audits, and ruleset ownership and added a regression test preventing dependency on a sibling repository.","README.md;tests/test-repository-independence.sh;docs/public-repository-safety.md",high
2026-07-18,a0b74a4a6936c591684325226c872f1ba02f327e,,Public engine plus private Mac intent,personal macOS,"Added a Darwin-specific, value-minimized plan/doctor/control engine with a strict owner-controlled private companion rather than putting Mac identity or payloads in public Git.","docs/personal-macos.md;docs/plans/personal-macos-fleet.md;libexec/harness-macos-plan;tests/test-personal-macos-plan-doctor.sh",high
2026-07-19,4209ee84408a0abf4fccdbeafcac62ad050d4ad0,,Cross-platform Bash and tmux replaced private duplication,cross-platform configuration,"Moved Bash hooks and tmux configuration into the public cross-platform control plane and added a recoverable bridge from the historical private bundle to SSH-only private intent.","config/tmux/tmux.conf;docs/personal-macos-config-sync.md;libexec/harness-macos-config-migrate;libexec/harness-tmux-config",high
2026-07-19,6a7e177d05742fbbde054a1af94e2c85810e3790,,Portable agent-client configuration,client configuration,"Added explicit public Codex and Claude settings transactions, local preservation state, rollback drills, and fleet catch-up surfaces.","config/agent-clients/;docs/agent-client-config.md;libexec/harness-agent-config;tests/test-agent-config.sh",high
2026-07-19,d76575c80ade7638a2df74328df60f07405a1193,,Native Codex ownership stayed local,client ownership boundary,"Reversed an earlier launcher-ownership design: the harness manages policy and a separate wrapper while the native client remains locally owned.","bin/harness-codex;docs/agent-client-config.md;libexec/harness-agent-config;tests/test-agent-config.sh",high
2026-07-20,1ed9712bc8c3fd4896df2654b2a3379412e5984d,,Interrupted agent replacement became recoverable,agent transactions,"Added verify-before-promotion replacement, predecessor restoration after interruption, unchanged-only rollback, and explicit rejection of unsafe downgrade or partial layouts.","libexec/harness-agent;libexec/harness-rollback;tests/test-agent-upgrade.sh;README.md",high
2026-07-21,535a49218d766ce917ee28bc4b9d89fa0f650434,,Symmetric Codex-Claude cowork,cross-client orchestration,"Added a client-neutral driver/co-pilot protocol with staged exchange, immutable evidence, reciprocal critique, external seals, receipts, and driver-only target execution.","shared/skills/codex-claude-cowork/;docs/audits/t283-cowork-acceptance.md;tests/test-codex-claude-cowork-skill.sh",high
2026-07-21,bb11854f59ec54907920c7cb3e9883ea94ab317e,,Cowork monitoring and validation accelerated,observability and CI,"Bound prompts into receipts, added read-only status and bounded waiting, made test workers affinity-aware, and removed duplicated CI steps without removing the complete gate.","docs/audits/t284-cowork-acceptance.md;tools/run-focused-tests.py;.github/workflows/ci.yml;tests/test-focused-runner.sh",high
2026-07-21,f25429546bf8114b3309f26e3d3242feae191a30,,HEAD is a transactional multi-platform control plane,current system,"HEAD combines shared policy, profiles, 43 user-facing commands including guarded deletion, 57 focused suites, Linux/HPC fleet operations, personal-Mac onboarding, backup, evaluation, and symmetric cowork.","README.md;bin/harness;tests/focused-suites.tsv;TODO.md",high
